disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_13.oif,129.269,2117.648,167107.187,cold,58.42,45.19225251
MAX_17C_14dec_13.oif,130.512,2199.637,167107.187,cold,59.663,46.15380626
MAX_17C_14dec_13.oif,131.755,2172.092,167107.187,cold,60.906,47.11536
MAX_17C_14dec_13.oif,132.998,2138.005,167107.187,cold,62.149,48.07691375
MAX_17C_14dec_13.oif,134.241,2109.261,167107.187,cold,63.392,49.0384675
MAX_17C_14dec_13.oif,135.484,2089.685,167107.187,cold,64.635,50.00002124
MAX_17C_14dec_13.oif,136.727,2071.072,167107.187,cold,65.878,50.96157499
MAX_17C_14dec_13.oif,137.97,2101.302,167107.187,cold,67.121,51.92312874
MAX_17C_14dec_13.oif,139.212,2073.426,167107.187,cold,68.363,52.88390891
MAX_17C_14dec_13.oif,140.455,2094.357,167107.187,cold,69.606,53.84546265
MAX_17C_14dec_13.oif,141.698,2128.943,167107.187,cold,70.849,54.8070164
MAX_17C_14dec_13.oif,142.941,2162.141,167107.187,cold,72.092,55.76857015
MAX_17C_14dec_13.oif,144.184,2121.333,167107.187,cold,73.335,56.73012389
MAX_17C_14dec_13.oif,145.427,2106.443,167107.187,cold,74.578,57.69167764
MAX_17C_14dec_13.oif,146.67,2088.902,167107.187,cold,75.821,58.65323139
MAX_17C_14dec_13.oif,147.913,2075.029,167107.187,cold,77.064,59.61478513
MAX_17C_14dec_13.oif,149.156,1960.852,167107.187,cold,78.307,60.57633888
MAX_17C_14dec_13.oif,150.399,1989.855,167107.187,cold,79.55,61.53789263
MAX_17C_14dec_13.oif,151.642,2009.563,167107.187,cold,80.793,62.49944637
MAX_17C_14dec_13.oif,152.885,2002.876,167107.187,cold,82.036,63.46100012
MAX_17C_14dec_13.oif,154.128,2019.131,167107.187,cold,83.279,64.42255387
MAX_17C_14dec_13.oif,155.371,2036.897,167107.187,cold,84.522,65.38410761
MAX_17C_14dec_13.oif,156.614,2025.327,167107.187,cold,85.765,66.34566136
MAX_17C_14dec_13.oif,157.857,1988.508,167107.187,cold,87.008,67.30721511
MAX_17C_14dec_13.oif,159.1,1946.944,167107.187,cold,88.251,68.26876885
MAX_17C_14dec_13.oif,160.343,1980.446,167107.187,cold,89.494,69.2303226
MAX_17C_14dec_13.oif,161.586,2096.054,167107.187,cold,90.737,70.19187635
MAX_17C_14dec_13.oif,162.829,2124.156,167107.187,cold,91.98,71.15343009
MAX_17C_14dec_13.oif,164.072,2098.396,167107.187,cold,93.223,72.11498384
MAX_17C_14dec_13.oif,165.315,2020.012,167107.187,cold,94.466,73.07653759
MAX_17C_14dec_13.oif,166.558,2030.13,167107.187,cold,95.709,74.03809133
MAX_17C_14dec_13.oif,167.801,2002.003,167107.187,cold,96.952,74.99964508
MAX_17C_14dec_13.oif,169.044,1939.405,167107.187,cold,98.195,75.96119882
MAX_17C_14dec_13.oif,170.287,1944.522,167107.187,cold,99.438,76.92275257
MAX_17C_14dec_13.oif,171.53,2018.726,167107.187,cold,100.681,77.88430632
MAX_17C_14dec_13.oif,172.773,2084.023,167107.187,cold,101.924,78.84586006
MAX_17C_14dec_13.oif,174.016,2031.69,167107.187,cold,103.167,79.80741381
MAX_17C_14dec_13.oif,175.259,1936.126,167107.187,cold,104.41,80.76896756
MAX_17C_14dec_13.oif,176.502,1899.876,167107.187,cold,105.653,81.7305213
MAX_17C_14dec_13.oif,177.745,1856.805,167107.187,cold,106.896,82.69207505
MAX_17C_14dec_13.oif,178.988,1864.914,167107.187,cold,108.139,83.6536288
MAX_17C_14dec_13.oif,180.23,1894.948,167107.187,cold,109.381,84.61440897
MAX_17C_14dec_13.oif,181.473,1915.916,167107.187,cold,110.624,85.57596271
MAX_17C_14dec_13.oif,182.716,1910.071,167107.187,cold,111.867,86.53751646
MAX_17C_14dec_13.oif,183.959,1874.099,167107.187,cold,113.11,87.49907021
MAX_17C_14dec_13.oif,185.202,1918.324,167107.187,cold,114.353,88.46062395
MAX_17C_14dec_13.oif,186.445,1992.203,167107.187,cold,115.596,89.4221777
MAX_17C_14dec_13.oif,187.688,2102.516,167107.187,cold,116.839,90.38373145
MAX_17C_14dec_13.oif,188.931,2121.874,167107.187,cold,118.082,91.34528519
MAX_17C_14dec_13.oif,190.174,2110.299,167107.187,cold,119.325,92.30683894
